id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
1056,oheň,сущ.,м.р.,ohně,A2,Природа,огонь,вогонь,fire,,fire,https://loremflickr.com/640/480/fire,Rozdělali jsme oheň.,Мы развели огонь.,Ми розпалили вогонь.,Pozor na oheň!,Осторожно с огнём!,Обережно з вогнем!
1057,písek,сущ.,м.р.,písku,A2,Природа,песок,пісок,sand,,sand,https://loremflickr.com/640/480/sand,Děti si hrají v písku.,Дети играют в песке.,Діти граються в піску.,Pláž má bílý písek.,На пляже белый песок.,На пляжі білий пісок.
1058,pole,сущ.,ср.р.,pole,A2,Природа,поле,поле,field,,field,https://loremflickr.com/640/480/field,Za vesnicí jsou pole.,За деревней поля.,За селом поля.,Na poli roste pšenice.,В поле растёт пшеница.,У полі росте пшениця.
1059,příroda,сущ.,ж.р.,přírody,A2,Природа,природа,природа,nature,,nature,https://loremflickr.com/640/480/nature,Miluji přírodu.,Я люблю природу.,Я люблю природу.,Jedeme do přírody.,Мы едем на природу.,Ми їдемо на природу.
1060,tráva,сущ.,ж.р.,trávy,A2,Природа,трава,трава,grass,,grass,https://loremflickr.com/640/480/grass,Tráva je zelená.,Трава зелёная.,Трава зелена.,Nesedej si na trávu.,Не садись на траву.,Не сідай на траву.
1061,vzduch,сущ.,м.р.,vzduchu,A2,Природа,воздух,повітря,air,,"air,sky","https://loremflickr.com/640/480/air,sky",V lese je čerstvý vzduch.,В лесу свежий воздух.,У лісі свіже повітря.,Potřebuji čerstvý vzduch.,Мне нужен свежий воздух.,Мені потрібне свіже повітря.
1062,herec,сущ.,м.р.,herce,A2,Профессии,актёр,актор,actor,,actor,https://loremflickr.com/640/480/actor,Ten herec je slavný.,Этот актёр знаменит.,Цей актор відомий.,Znám toho herce z filmu.,Я знаю этого актёра по фильму.,Я знаю цього актора з фільму.
1063,inženýr,сущ.,м.р.,inženýra,A2,Профессии,инженер,інженер,engineer,,engineer,https://loremflickr.com/640/480/engineer,Pracuje jako inženýr.,Он работает инженером.,Він працює інженером.,Hledáme inženýra.,Мы ищем инженера.,Ми шукаємо інженера.
1064,kadeřník,сущ.,м.р.,kadeřníka,A2,Профессии,парикмахер,перукар,hairdresser,,hairdresser,https://loremflickr.com/640/480/hairdresser,Jdu ke kadeřníkovi.,Я иду к парикмахеру.,Я йду до перукаря.,Kadeřník má dnes zavřeno.,У парикмахера сегодня закрыто.,У перукаря сьогодні зачинено.
1065,manažer,сущ.,м.р.,manažera,A2,Профессии,менеджер,менеджер,manager,,manager,https://loremflickr.com/640/480/manager,Můj manažer je Čech.,Мой менеджер чех.,Мій менеджер чех.,Mluvil jsem s manažerem.,Я говорил с менеджером.,Я говорив із менеджером.
1066,policista,сущ.,м.р.,policisty,A2,Профессии,полицейский,поліцейський,police officer,,policeofficer,https://loremflickr.com/640/480/policeofficer,Policista mi pomohl.,Полицейский мне помог.,Поліцейський мені допоміг.,Zeptej se policisty.,Спроси у полицейского.,Запитай у поліцейського.
1067,povolání,сущ.,ср.р.,povolání,A2,Профессии,профессия,професія,profession; occupation,,profession,https://loremflickr.com/640/480/profession,Jaké je vaše povolání?,Какая у вас профессия?,Яка у вас професія?,Změnil jsem povolání.,Я сменил профессию.,Я змінив професію.
1068,programátor,сущ.,м.р.,programátora,A2,Профессии,программист,програміст,programmer,,programmer,https://loremflickr.com/640/480/programmer,Pracuji jako programátor.,Я работаю программистом.,Я працюю програмістом.,Hledáme programátora.,Мы ищем программиста.,Ми шукаємо програміста.
1069,ředitel,сущ.,м.р.,ředitele,A2,Профессии,директор,директор,director; principal,,director,https://loremflickr.com/640/480/director,Ředitel školy je milý.,Директор школы приветливый.,Директор школи привітний.,Mluvil jsem s ředitelem.,Я говорил с директором.,Я говорив із директором.
1070,uklízečka,сущ.,ж.р.,uklízečky,A2,Профессии,уборщица,прибиральниця,cleaning lady,,cleaninglady,https://loremflickr.com/640/480/cleaninglady,Uklízečka uklízí kancelář.,Уборщица убирает офис.,Прибиральниця прибирає офіс.,Hledáme uklízečku.,Мы ищем уборщицу.,Ми шукаємо прибиральницю.
1071,zpěvák,сущ.,м.р.,zpěváka,A2,Профессии,певец,співак,singer,,singer,https://loremflickr.com/640/480/singer,Je to známý zpěvák.,Это известный певец.,Це відомий співак.,Poslouchám toho zpěváka.,Я слушаю этого певца.,Я слухаю цього співака.
1072,zubař,сущ.,м.р.,zubaře,A2,Профессии,стоматолог,стоматолог,dentist,,dentist,https://loremflickr.com/640/480/dentist,Musím k zubaři.,Мне нужно к стоматологу.,Мені треба до стоматолога.,Zubař mi opravil zub.,Стоматолог вылечил мне зуб.,Стоматолог полікував мені зуб.
1073,hranice,сущ.,ж.р.,hranice,A2,Путешествия,граница,кордон,border,,border,https://loremflickr.com/640/480/border,Přejeli jsme hranice.,Мы пересекли границу.,Ми перетнули кордон.,Na hranicích byla kontrola.,На границе был контроль.,На кордоні був контроль.
1074,památka,сущ.,ж.р.,památky,A2,Путешествия,достопримечательность,пам'ятка,monument; sight,,monument,https://loremflickr.com/640/480/monument,Praha má hodně památek.,В Праге много достопримечательностей.,У Празі багато пам'яток.,Ta památka je z 14. století.,Эта достопримечательность 14 века.,Ця пам'ятка XIV століття.
1075,pláž,сущ.,ж.р.,pláže,A2,Путешествия,пляж,пляж,beach,,beach,https://loremflickr.com/640/480/beach,Na pláži je hodně lidí.,На пляже много людей.,На пляжі багато людей.,Pláž je čistá.,Пляж чистый.,Пляж чистий.
1076,rezervace,сущ.,ж.р.,rezervace,A2,Путешествия,бронь,бронювання,reservation; booking,,reservation,https://loremflickr.com/640/480/reservation,Mám rezervaci na osmou.,У меня бронь на восемь.,У мене бронь на восьму.,Rezervace je na jméno Novák.,Бронь на имя Новак.,Бронь на ім'я Новак.
1077,rezervovat,гл.,несов.,,A2,Путешествия,бронировать,бронювати,to book; to reserve,,booking,https://loremflickr.com/640/480/booking,Rezervoval jsem stůl.,Я забронировал столик.,Я забронював столик.,Rezervuji hotel online.,Я бронирую отель онлайн.,Я бронюю готель онлайн.
1078,turista,сущ.,м.р.,turisty,A2,Путешествия,турист,турист,tourist,,tourist,https://loremflickr.com/640/480/tourist,V Praze je hodně turistů.,В Праге много туристов.,У Празі багато туристів.,Turista se ptal na cestu.,Турист спрашивал дорогу.,Турист питав дорогу.
1079,vízum,сущ.,ср.р.,víza,A2,Путешествия,виза,віза,visa,,visa,https://loremflickr.com/640/480/visa,Potřebuji vízum.,Мне нужна виза.,Мені потрібна віза.,Vízum platí rok.,Виза действует год.,Віза дійсна рік.
1080,projekt,сущ.,м.р.,projektu,A2,Работа,проект,проєкт,project,,project,https://loremflickr.com/640/480/project,Pracuji na novém projektu.,Я работаю над новым проектом.,Я працюю над новим проєктом.,Projekt musíme dokončit.,Проект нужно закончить.,Проєкт треба завершити.
1081,schůzka,сущ.,ж.р.,schůzky,A2,Работа,встреча,зустріч,meeting; appointment,,meeting,https://loremflickr.com/640/480/meeting,Mám schůzku ve tři.,У меня встреча в три.,У мене зустріч о третій.,Schůzka se ruší.,Встреча отменяется.,Зустріч скасовується.
1082,termín,сущ.,м.р.,termínu,A2,Работа,срок; назначенная встреча,термін; призначена зустріч,deadline; appointment,Часто = запись на приём,"deadline,calendar","https://loremflickr.com/640/480/deadline,calendar",Mám termín u lékaře.,У меня запись к врачу.,У мене запис до лікаря.,Termín je do pátku.,Срок до пятницы.,Термін до п'ятниці.
1083,zaměstnání,сущ.,ср.р.,zaměstnání,A2,Работа,работа; трудоустройство,робота; працевлаштування,employment; job,,job,https://loremflickr.com/640/480/job,Hledám nové zaměstnání.,Я ищу новую работу.,Я шукаю нову роботу.,Mám stálé zaměstnání.,У меня постоянная работа.,У мене постійна робота.
1084,chlebíček,сущ.,м.р.,chlebíčku,A2,Ресторан,бутерброд (чешская закуска),канапка,open sandwich,,sandwich,https://loremflickr.com/640/480/sandwich,Na oslavě byly chlebíčky.,На празднике были бутерброды.,На святі були канапки.,"Chlebíček se šunkou, prosím.","Бутерброд с ветчиной, пожалуйста.","Канапку з шинкою, будь ласка."
1085,dezert,сущ.,м.р.,dezertu,A2,Ресторан,десерт,десерт,dessert,,dessert,https://loremflickr.com/640/480/dessert,Dám si dezert.,Я возьму десерт.,Я візьму десерт.,Jaký máte dezert?,Какой у вас десерт?,Який у вас десерт?
1086,hlavní jídlo,сущ.,ср.р.,hlavního jídla,A2,Ресторан,основное блюдо,основна страва,main course,,maincourse,https://loremflickr.com/640/480/maincourse,Jako hlavní jídlo si dám rybu.,На основное блюдо я возьму рыбу.,На основну страву візьму рибу.,Hlavní jídlo přinesou hned.,Основное блюдо принесут сейчас.,Основну страву принесуть зараз.
1087,klobása,сущ.,ж.р.,klobásy,A2,Ресторан,колбаска (жареная),ковбаска,sausage (grilled),,grilledsausage,https://loremflickr.com/640/480/grilledsausage,Dám si klobásu s hořčicí.,Я возьму колбаску с горчицей.,Я візьму ковбаску з гірчицею.,Klobása je pálivá.,Колбаска острая.,Ковбаска гостра.
1088,objednávka,сущ.,ж.р.,objednávky,A2,Ресторан,заказ,замовлення,order,,order,https://loremflickr.com/640/480/order,Vaše objednávka je hotová.,Ваш заказ готов.,Ваше замовлення готове.,Zrušil jsem objednávku.,Я отменил заказ.,Я скасував замовлення.
1089,palačinka,сущ.,ж.р.,palačinky,A2,Ресторан,блинчик,млинець,pancake,,pancake,https://loremflickr.com/640/480/pancake,Děti chtějí palačinky.,Дети хотят блинчики.,Діти хочуть млинці.,Palačinka s marmeládou.,Блинчик с джемом.,Млинець із джемом.
1090,pálivý,прил.,,,A2,Ресторан,острый (о еде),гострий (про їжу),spicy; hot,,spicy,https://loremflickr.com/640/480/spicy,Ta omáčka je pálivá.,Этот соус острый.,Цей соус гострий.,Nemám rád pálivé jídlo.,Я не люблю острую еду.,Я не люблю гостру їжу.
1091,pečený,прил.,,,A2,Ресторан,запечённый,запечений,baked; roasted,,roasted,https://loremflickr.com/640/480/roasted,Dám si pečené kuře.,Я возьму запечённую курицу.,Я візьму запечену курку.,Pečené brambory jsou dobré.,Запечённая картошка вкусная.,Запечена картопля смачна.
1092,porce,сущ.,ж.р.,porce,A2,Ресторан,порция,порція,portion; serving,,portion,https://loremflickr.com/640/480/portion,Porce je velká.,Порция большая.,Порція велика.,Dám si menší porci.,Я возьму порцию поменьше.,Я візьму меншу порцію.
1093,příloha,сущ.,ж.р.,přílohy,A2,Ресторан,гарнир; приложение,гарнір; додаток,side dish; attachment,,sidedish,https://loremflickr.com/640/480/sidedish,Jakou chcete přílohu?,Какой гарнир вы хотите?,Який гарнір ви хочете?,Jako přílohu si dám rýži.,На гарнир я возьму рис.,На гарнір візьму рис.
1094,smažený,прил.,,,A2,Ресторан,жареный (во фритюре),смажений,fried,,fried,https://loremflickr.com/640/480/fried,Dám si smažený sýr.,Я возьму жареный сыр.,Я візьму смажений сир.,Smažené jídlo není zdravé.,Жареная еда не полезна.,Смажена їжа не корисна.
1095,svíčková,сущ.,ж.р.,svíčkové,A2,Ресторан,свичкова (говядина в соусе),свічкова,beef sirloin in cream sauce,Национальное чешское блюдо,svickova,https://loremflickr.com/640/480/svickova,Svíčková je česká klasika.,Свичкова — чешская классика.,Свічкова — чеська класика.,Dám si svíčkovou s knedlíkem.,Я возьму свичкову с кнедликами.,Я візьму свічкову з кнедликами.
1096,ubrousek,сущ.,м.р.,ubrousku,A2,Ресторан,салфетка,серветка,napkin,,napkin,https://loremflickr.com/640/480/napkin,"Podejte mi ubrousek, prosím.","Подайте мне салфетку, пожалуйста.","Подайте мені серветку, будь ласка.",Ubrousky jsou na stole.,Салфетки на столе.,Серветки на столі.
1097,vařený,прил.,,,A2,Ресторан,варёный,варений,boiled,,boiled,https://loremflickr.com/640/480/boiled,Dám si vařené brambory.,Я возьму варёную картошку.,Я візьму варену картоплю.,Vařené vejce k snídani.,Варёное яйцо на завтрак.,Варене яйце на сніданок.
1098,vegetariánský,прил.,,,A2,Ресторан,вегетарианский,вегетаріанський,vegetarian,,vegetarian,https://loremflickr.com/640/480/vegetarian,"Jsem vegetarián, mám vegetariánské jídlo?","Я вегетарианец, есть вегетарианское блюдо?","Я вегетаріанець, чи є вегетаріанська страва?",Máte vegetariánské menu?,У вас есть вегетарианское меню?,У вас є вегетаріанське меню?
1099,bratranec,сущ.,м.р.,bratrance,A2,Семья и люди,двоюродный брат,двоюрідний брат,cousin (male),,cousin,https://loremflickr.com/640/480/cousin,Můj bratranec žije v Brně.,Мой двоюродный брат живёт в Брно.,Мій двоюрідний брат живе в Брні.,Jedu k bratranci.,Я еду к двоюродному брату.,Я їду до двоюрідного брата.
1100,dospělý,прил.,,,A2,Семья и люди,взрослый,дорослий,adult,,adult,https://loremflickr.com/640/480/adult,Jsem dospělý člověk.,Я взрослый человек.,Я доросла людина.,Vstupné pro dospělé je sto korun.,Вход для взрослых сто крон.,Вхід для дорослих сто крон.
1101,důchodce,сущ.,м.р.,důchodce,A2,Семья и люди,пенсионер,пенсіонер,pensioner; retiree,,pensioner,https://loremflickr.com/640/480/pensioner,Můj otec je důchodce.,Мой отец пенсионер.,Мій батько пенсіонер.,Důchodci mají slevu.,У пенсионеров скидка.,Пенсіонери мають знижку.
1102,miminko,сущ.,ср.р.,miminka,A2,Семья и люди,младенец,немовля,baby,,baby,https://loremflickr.com/640/480/baby,Máme doma miminko.,У нас дома малыш.,У нас удома немовля.,Miminko spí.,Малыш спит.,Немовля спить.
1103,partner,сущ.,м.р.,partnera,A2,Семья и люди,партнёр,партнер,partner,,partner,https://loremflickr.com/640/480/partner,Bydlím s partnerem.,Я живу с партнёром.,Я живу з партнером.,Přišel s partnerkou.,Он пришёл с партнёршей.,Він прийшов із партнеркою.
1104,sestřenice,сущ.,ж.р.,sestřenice,A2,Семья и люди,двоюродная сестра,двоюрідна сестра,cousin (female),,cousin,https://loremflickr.com/640/480/cousin,Moje sestřenice studuje.,Моя двоюродная сестра учится.,Моя двоюрідна сестра навчається.,Volala mi sestřenice.,Мне звонила двоюродная сестра.,Мені телефонувала двоюрідна сестра.
1105,svatba,сущ.,ж.р.,svatby,A2,Семья и люди,свадьба,весілля,wedding,,wedding,https://loremflickr.com/640/480/wedding,Máme svatbu v červnu.,У нас свадьба в июне.,У нас весілля в червні.,Byl jsem na svatbě.,Я был на свадьбе.,Я був на весіллі.
1106,svobodný,прил.,,,A2,Семья и люди,холостой; свободный,неодружений; вільний,single; free,,,,Jsem svobodný.,Я холост.,Я неодружений.,Je svobodná a bez dětí.,Она не замужем и без детей.,Вона незаміжня і без дітей.
1107,vdaná,прил.,,,A2,Семья и люди,замужем,заміжня,married (woman),,bride,https://loremflickr.com/640/480/bride,Je vdaná už pět let.,Она замужем уже пять лет.,Вона заміжня вже п'ять років.,Moje sestra je vdaná.,Моя сестра замужем.,Моя сестра заміжня.
1108,vnučka,сущ.,ж.р.,vnučky,A2,Семья и люди,внучка,внучка,granddaughter,,granddaughter,https://loremflickr.com/640/480/granddaughter,Babička má tři vnučky.,У бабушки три внучки.,У бабусі три внучки.,Vnučka chodí do školy.,Внучка ходит в школу.,Внучка ходить до школи.
1109,vnuk,сущ.,м.р.,vnuka,A2,Семья и люди,внук,внук,grandson,,grandson,https://loremflickr.com/640/480/grandson,Dědeček má vnuka.,У дедушки есть внук.,У дідуся є внук.,Vnuk mu pomáhá.,Внук ему помогает.,Внук йому допомагає.
1110,ženatý,прил.,,,A2,Семья и люди,женатый,одружений,married (man),,groom,https://loremflickr.com/640/480/groom,Můj bratr je ženatý.,Мой брат женат.,Мій брат одружений.,Je ženatý a má děti.,"Он женат, и у него дети.","Він одружений, і в нього діти."
1111,aby,союз,,,A2,Союзы,чтобы,щоб,so that; in order to,,,,"Učím se, abych našel práci.","Я учусь, чтобы найти работу.","Я вчуся, щоб знайти роботу.","Řekni mu, aby přišel.","Скажи ему, чтобы пришёл.","Скажи йому, щоб прийшов."
1112,ani,союз,,,A2,Союзы,ни,ані,neither; nor,,,,Nemám ani korunu.,У меня нет ни кроны.,У мене немає ні крони.,"Ani nevím, co říct.","Я даже не знаю, что сказать.","Я навіть не знаю, що сказати."
1113,i,союз,,,A2,Союзы,и; даже,і; навіть,and; even,,,,I my tam půjdeme.,И мы туда пойдём.,І ми туди підемо.,Přišel i on.,Пришёл даже он.,Прийшов навіть він.
1114,jestli,союз,,,A2,Союзы,ли; если,чи; якщо,whether; if,,,,"Nevím, jestli přijde.","Я не знаю, придёт ли он.","Я не знаю, чи прийде він.","Zeptej se, jestli je otevřeno.","Спроси, открыто ли.","Запитай, чи відчинено."
1115,než,союз,,,A2,Союзы,прежде чем; чем,перш ніж; ніж,than; before,,,,"Přijď dřív, než začne film.",Приходи до начала фильма.,"Приходь, перш ніж почнеться фільм.",Je to lepší než dřív.,"Это лучше, чем раньше.","Це краще, ніж раніше."
1116,proto,союз,,,A2,Союзы,поэтому,тому,therefore,,,,"Prší, proto zůstanu doma.","Идёт дождь, поэтому я останусь дома.","Іде дощ, тому я залишуся вдома.","Nemám čas, proto nepřijdu.","У меня нет времени, поэтому не приду.","Я не маю часу, тому не прийду."
1117,takže,союз,,,A2,Союзы,так что,тож,so; therefore,,,,"Je pozdě, takže jdu domů.","Поздно, так что я иду домой.","Пізно, тож я йду додому.","Nefunguje to, takže to opravím.","Это не работает, так что я починю.","Це не працює, тож я полагоджу."
1118,basketbal,сущ.,м.р.,basketbalu,A2,Спорт и досуг,баскетбол,баскетбол,basketball,,basketball,https://loremflickr.com/640/480/basketball,Hraju basketbal.,Я играю в баскетбол.,Я граю в баскетбол.,Basketbal je rychlý sport.,Баскетбол — быстрый спорт.,Баскетбол — швидкий спорт.
1119,bavit se,гл.,несов.,,A2,Спорт и досуг,развлекаться; беседовать,розважатися; спілкуватися,to have fun; to chat,,fun,https://loremflickr.com/640/480/fun,Bavím se s kolegy.,Я беседую с коллегами.,Я спілкуюся з колегами.,Bavil jsem se skvěle.,Я отлично провёл время.,Я чудово провів час.
1120,bruslit,гл.,несов.,,A2,Спорт и досуг,кататься на коньках,кататися на ковзанах,to skate,,iceskating,https://loremflickr.com/640/480/iceskating,V zimě chodíme bruslit.,Зимой мы ходим кататься на коньках.,Взимку ми ходимо кататися на ковзанах.,Umíš bruslit?,Ты умеешь кататься на коньках?,Ти вмієш кататися на ковзанах?
1121,festival,сущ.,м.р.,festivalu,A2,Спорт и досуг,фестиваль,фестиваль,festival,,festival,https://loremflickr.com/640/480/festival,Jdeme na hudební festival.,Мы идём на музыкальный фестиваль.,Ми йдемо на музичний фестиваль.,Festival trvá tři dny.,Фестиваль длится три дня.,Фестиваль триває три дні.
1122,fotit,гл.,несов.,,A2,Спорт и досуг,фотографировать,фотографувати,to take photos,,photographing,https://loremflickr.com/640/480/photographing,Rád fotím.,Я люблю фотографировать.,Я люблю фотографувати.,Vyfotil jsem to mobilem.,Я сфотографировал это на телефон.,Я сфотографував це телефоном.
1123,koníček,сущ.,м.р.,koníčku,A2,Спорт и досуг,хобби,хобі,hobby,,hobby,https://loremflickr.com/640/480/hobby,Můj koníček je vaření.,Моё хобби — готовка.,Моє хобі — куховарство.,Máš nějaké koníčky?,У тебя есть хобби?,У тебе є хобі?
1124,kreslit,гл.,несов.,,A2,Спорт и досуг,рисовать,малювати,to draw,,drawing,https://loremflickr.com/640/480/drawing,Dcera ráda kreslí.,Дочь любит рисовать.,Дочка любить малювати.,Nakreslil jsem mapu.,Я нарисовал карту.,Я намалював мапу.
1125,lyže,сущ.,мн.ч.,lyží,A2,Спорт и досуг,лыжи,лижі,skis,,skis,https://loremflickr.com/640/480/skis,Koupil jsem si nové lyže.,Я купил новые лыжи.,Я купив нові лижі.,Lyže mám ve sklepě.,Лыжи у меня в подвале.,Лижі в мене в підвалі.
1126,lyžovat,гл.,несов.,,A2,Спорт и досуг,кататься на лыжах,кататися на лижах,to ski,,skiing,https://loremflickr.com/640/480/skiing,V zimě jezdím lyžovat.,Зимой я езжу кататься на лыжах.,Взимку я їжджу кататися на лижах.,Umíš lyžovat?,Ты умеешь кататься на лыжах?,Ти вмієш кататися на лижах?
1127,míč,сущ.,м.р.,míče,A2,Спорт и досуг,мяч,м'яч,ball,,ball,https://loremflickr.com/640/480/ball,Hoď mi míč.,Брось мне мяч.,Кинь мені м'яч.,Míč je pod stolem.,Мяч под столом.,М'яч під столом.
1128,sbírat,гл.,несов.,,A2,Спорт и досуг,собирать; коллекционировать,збирати,to collect; to pick,,collecting,https://loremflickr.com/640/480/collecting,Sbírám staré mince.,Я коллекционирую старые монеты.,Я колекціоную старі монети.,Sbíráme houby v lese.,Мы собираем грибы в лесу.,Ми збираємо гриби в лісі.
1129,trénink,сущ.,м.р.,tréninku,A2,Спорт и досуг,тренировка,тренування,training,,training,https://loremflickr.com/640/480/training,Mám trénink v šest.,У меня тренировка в шесть.,У мене тренування о шостій.,Trénink byl náročný.,Тренировка была тяжёлой.,Тренування було важким.
1130,tým,сущ.,м.р.,týmu,A2,Спорт и досуг,команда,команда,team,,team,https://loremflickr.com/640/480/team,Hraju v týmu.,Я играю в команде.,Я граю в команді.,Náš tým vyhrál.,Наша команда выиграла.,Наша команда виграла.
1131,vstupenka,сущ.,ж.р.,vstupenky,A2,Спорт и досуг,входной билет,вхідний квиток,entrance ticket,,"ticket,entrance","https://loremflickr.com/640/480/ticket,entrance",Koupil jsem vstupenky do divadla.,Я купил билеты в театр.,Я купив квитки в театр.,Vstupenka stojí tři sta.,Билет стоит триста.,Квиток коштує триста.
1132,zábava,сущ.,ж.р.,zábavy,A2,Спорт и досуг,развлечение,розвага,entertainment; fun,,entertainment,https://loremflickr.com/640/480/entertainment,Máme spoustu zábavy.,У нас много развлечений.,У нас багато розваг.,Byla to dobrá zábava.,Это было весело.,Це було весело.
1133,zápas,сущ.,м.р.,zápasu,A2,Спорт и досуг,матч; борьба,матч; боротьба,match; contest,,"match,sport","https://loremflickr.com/640/480/match,sport",Díváme se na zápas.,Мы смотрим матч.,Ми дивимося матч.,Zápas začíná v osm.,Матч начинается в восемь.,Матч починається о восьмій.
1134,cizí jazyk,сущ.,м.р.,cizího jazyka,A2,Страны и языки,иностранный язык,іноземна мова,foreign language,,"language,learning","https://loremflickr.com/640/480/language,learning",Učím se cizí jazyk.,Я учу иностранный язык.,Я вчу іноземну мову.,Znalost cizího jazyka je výhoda.,Знание иностранного языка — преимущество.,Знання іноземної мови — перевага.
1135,němčina,сущ.,ж.р.,němčiny,A2,Страны и языки,немецкий язык,німецька мова,German (language),,german,https://loremflickr.com/640/480/german,Učím se němčinu.,Я учу немецкий.,Я вчу німецьку.,Němčina je těžká.,Немецкий трудный.,Німецька важка.
1136,břicho,сущ.,ср.р.,břicha,A2,Тело,живот,живіт,belly; stomach,,belly,https://loremflickr.com/640/480/belly,Bolí mě břicho.,У меня болит живот.,У мене болить живіт.,Po jídle mě bolí břicho.,После еды у меня болит живот.,Після їжі в мене болить живіт.
1137,koleno,сущ.,ср.р.,kolena,A2,Тело,колено,коліно,knee,,knee,https://loremflickr.com/640/480/knee,Bolí mě koleno.,У меня болит колено.,У мене болить коліно.,Spadl a rozbil si koleno.,Он упал и разбил колено.,Він упав і розбив коліно.
1138,prst,сущ.,м.р.,prstu,A2,Тело,палец,палець,finger; toe,,finger,https://loremflickr.com/640/480/finger,Řízl jsem se do prstu.,Я порезал палец.,Я порізав палець.,Mám na prstu prsten.,У меня на пальце кольцо.,У мене на пальці каблучка.
1139,rameno,сущ.,ср.р.,ramene,A2,Тело,плечо,плече,shoulder,,shoulder,https://loremflickr.com/640/480/shoulder,Bolí mě rameno.,У меня болит плечо.,У мене болить плече.,Nesu tašku na rameni.,Я несу сумку на плече.,Я несу сумку на плечі.
1140,záda,сущ.,мн.ч.,zad,A2,Тело,спина,спина,back,,back,https://loremflickr.com/640/480/back,Bolí mě záda.,У меня болит спина.,У мене болить спина.,Mám problémy se zády.,У меня проблемы со спиной.,У мене проблеми зі спиною.
1141,aplikace,сущ.,ж.р.,aplikace,A2,Технологии и медиа,приложение,застосунок,app; application,,smartphoneapp,https://loremflickr.com/640/480/smartphoneapp,Stáhni si tu aplikaci.,Скачай это приложение.,Завантаж цей застосунок.,Aplikace je zdarma.,Приложение бесплатное.,Застосунок безкоштовний.
1142,baterie,сущ.,ж.р.,baterie,A2,Технологии и медиа,батарея; аккумулятор,батарея,battery,,battery,https://loremflickr.com/640/480/battery,Došla mi baterie.,У меня села батарея.,У мене сіла батарея.,Baterie vydrží den.,Батареи хватает на день.,Батареї вистачає на день.
1143,článek,сущ.,м.р.,článku,A2,Технологии и медиа,статья,стаття,article,,article,https://loremflickr.com/640/480/article,Četl jsem zajímavý článek.,Я читал интересную статью.,Я читав цікаву статтю.,Napsal článek do novin.,Он написал статью в газету.,Він написав статтю в газету.
1144,heslo,сущ.,ср.р.,hesla,A2,Технологии и медиа,пароль,пароль,password,,password,https://loremflickr.com/640/480/password,Zapomněl jsem heslo.,Я забыл пароль.,Я забув пароль.,Heslo musí být silné.,Пароль должен быть сложным.,Пароль має бути складним.
1145,klávesnice,сущ.,ж.р.,klávesnice,A2,Технологии и медиа,клавиатура,клавіатура,keyboard,,keyboard,https://loremflickr.com/640/480/keyboard,Klávesnice nefunguje.,Клавиатура не работает.,Клавіатура не працює.,Píšu na české klávesnici.,Я печатаю на чешской клавиатуре.,Я друкую на чеській клавіатурі.
1146,kliknout,гл.,сов.,,A2,Технологии и медиа,кликнуть,клікнути,to click,,clicking,https://loremflickr.com/640/480/clicking,Klikni na tlačítko.,Нажми на кнопку.,Клікни на кнопку.,Kliknul jsem na odkaz.,Я кликнул на ссылку.,Я клікнув на посилання.
1147,nabíječka,сущ.,ж.р.,nabíječky,A2,Технологии и медиа,зарядка,зарядний пристрій,charger,,charger,https://loremflickr.com/640/480/charger,Půjč mi nabíječku.,Одолжи мне зарядку.,Позич мені зарядний пристрій.,Nabíječka je v tašce.,Зарядка в сумке.,Зарядка в сумці.
1148,obrazovka,сущ.,ж.р.,obrazovky,A2,Технологии и медиа,экран,екран,screen,,screen,https://loremflickr.com/640/480/screen,Obrazovka je rozbitá.,Экран разбит.,Екран розбитий.,Dívám se do obrazovky celý den.,Я смотрю в экран весь день.,Я дивлюся в екран весь день.
1149,reklama,сущ.,ж.р.,reklamy,A2,Технологии и медиа,реклама,реклама,advertisement,,advertisement,https://loremflickr.com/640/480/advertisement,V televizi je hodně reklam.,По телевизору много рекламы.,По телевізору багато реклами.,Reklama mě otravuje.,Реклама меня раздражает.,Реклама мене дратує.
1150,smazat,гл.,сов.,,A2,Технологии и медиа,удалить,видалити,to delete,,,,Smazal jsem ten soubor.,Я удалил этот файл.,Я видалив цей файл.,Smaž tu zprávu.,Удали это сообщение.,Видали це повідомлення.
1151,stáhnout,гл.,сов.,,A2,Технологии и медиа,скачать,завантажити,to download,,download,https://loremflickr.com/640/480/download,Stáhl jsem si aplikaci.,Я скачал приложение.,Я завантажив застосунок.,Stáhni si to do telefonu.,Скачай это на телефон.,Завантаж це на телефон.
1152,tiskárna,сущ.,ж.р.,tiskárny,A2,Технологии и медиа,принтер,принтер,printer,,printer,https://loremflickr.com/640/480/printer,Tiskárna nefunguje.,Принтер не работает.,Принтер не працює.,Kde je tady tiskárna?,Где здесь принтер?,Де тут принтер?
1153,tisknout,гл.,несов.,,A2,Технологии и медиа,печатать,друкувати,to print,,printing,https://loremflickr.com/640/480/printing,Musím vytisknout dokument.,Мне нужно распечатать документ.,Мені треба роздрукувати документ.,Tiskneme na papír A4.,Мы печатаем на бумаге А4.,Ми друкуємо на папері А4.
